1 0:0.455 1:0.365 2:0.095 3:0.514 4:0.2245 5:0.101 6:0.15 7:15
1 0:0.35 1:0.265 2:0.09 3:0.2255 4:0.0995 5:0.0485 6:0.07 7:7
2 0:0.53 1:0.42 2:0.135 3:0.677 4:0.2565 5:0.1415 6:0.21 7:9
1 0:0.44 1:0.365 2:0.125 3:0.516 4:0.2155 5:0.114 6:0.155 7:10
3 0:0.33 1:0.255 2:0.08 3:0.205 4:0.0895 5:0.0395 6:0.055 7:7
3 0:0.425 1:0.3 2:0.095 3:0.3515 4:0.141 5:0.0775 6:0.12 7:8
2 0:0.53 1:0.415 2:0.15 3:0.7775 4:0.237 5:0.1415 6:0.33 7:20
2 0:0.545 1:0.425 2:0.125 3:0.768 4:0.294 5:0.1495 6:0.26 7:16
1 0:0.475 1:0.37 2:0.125 3:0.5095 4:0.2165 5:0.1125 6:0.165 7:9
2 0:0.55 1:0.44 2:0.15 3:0.8945 4:0.3145 5:0.151 6:0.32 7:19
2 0:0.525 1:0.38 2:0.14 3:0.6065 4:0.194 5:0.1475 6:0.21 7:14
1 0:0.43 1:0.35 2:0.11 3:0.406 4:0.1675 5:0.081 6:0.135 7:10
1 0:0.49 1:0.38 2:0.135 3:0.5415 4:0.2175 5:0.095 6:0.19 7:11
2 0:0.535 1:0.405 2:0.145 3:0.6845 4:0.2725 5:0.171 6:0.205 7:10
2 0:0.47 1:0.355 2:0.1 3:0.4755 4:0.1675 5:0.0805 6:0.185 7:10
1 0:0.5 1:0.4 2:0.13 3:0.6645 4:0.258 5:0.133 6:0.24 7:12
3 0:0.355 1:0.28 2:0.085 3:0.2905 4:0.095 5:0.0395 6:0.115 7:7
2 0:0.44 1:0.34 2:0.1 3:0.451 4:0.188 5:0.087 6:0.13 7:10
1 0:0.365 1:0.295 2:0.08 3:0.2555 4:0.097 5:0.043 6:0.1 7:7
1 0:0.45 1:0.32 2:0.1 3:0.381 4:0.1705 5:0.075 6:0.115 7:9
1 0:0.355 1:0.28 2:0.095 3:0.2455 4:0.0955 5:0.062 6:0.075 7:11
3 0:0.38 1:0.275 2:0.1 3:0.2255 4:0.08 5:0.049 6:0.085 7:10
2 0:0.565 1:0.44 2:0.155 3:0.9395 4:0.4275 5:0.214 6:0.27 7:12
2 0:0.55 1:0.415 2:0.135 3:0.7635 4:0.318 5:0.21 6:0.2 7:9
2 0:0.615 1:0.48 2:0.165 3:1.1615 4:0.513 5:0.301 6:0.305 7:10
2 0:0.56 1:0.44 2:0.14 3:0.9285 4:0.3825 5:0.188 6:0.3 7:11
2 0:0.58 1:0.45 2:0.185 3:0.9955 4:0.3945 5:0.272 6:0.285 7:11
1 0:0.59 1:0.445 2:0.14 3:0.931 4:0.356 5:0.234 6:0.28 7:12
